"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Stark Area Regional Transit Authority","Canton","OH","50011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","13375","Canton, OH","295319","66","DR","Demand Response","DO","30","73",,"97",,"170",,"2011296",,"1351674",,"0",,"0",
"Stark Area Regional Transit Authority","Canton","OH","50011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","13375","Canton, OH","295319","66","MB","Bus","DO","36","158",,"994",,"1152",,"2380155",,"2310460",,"0",,"0",
"Staten Island Rapid Transit Operating Authority, dba:  MTA Staten Island Railway","Staten Island","NY","20099","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","44","HR","Heavy Rail","DO","44","40",,"0",,"40",,"2779466",,"2540404",,"694866",,"635101",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","DR","Demand Response","DO","95","99",,"0",,"99",,"3018016",,"2612099",,"0",,"0",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","DR","Demand Response","PT","20","75",,"15",,"90",,"432279",,"397410",,"0",,"0",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","MB","Bus","DO","142","2532",,"281",,"2813",,"11506325",,"9710578",,"0",,"0",
"Suburban Transit Corporation, dba: Coach USA","New Brunswick","NJ","20128","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","56","CB","Commuter Bus","DO","56","0",,"15",,"15",,"1692924","Q","1583721","Q","0",,"0",
"Suffolk County , dba: Suffolk County Transit","Yaphank","NY","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","265","DR","Demand Response","PT","141","77",,"48",,"125",,"9560593",,"7828679",,"0",,"0",
"Suffolk County , dba: Suffolk County Transit","Yaphank","NY","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","265","MB","Bus","PT","124","360",,"108",,"468",,"8061167",,"7382508",,"0",,"0",
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","1171","Albuquerque, NM","769837","153","DR","Demand Response","DO","54","22",,"49",,"71",,"1890589",,"1716361",,"0",,"0",
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","1171","Albuquerque, NM","769837","153","MB","Bus","DO","86","200",,"459",,"659",,"4005142",,"3430811",,"0",,"0",
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","1171","Albuquerque, NM","769837","153","RB","Bus Rapid Transit","DO","13","39",,"144",,"183",,"813479",,"754464",,"0",,"0",
"SunLine Transit Agency, dba: SunLine","Thousand Palms","CA","90079","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","41347","Indio--Palm Desert--Palm Springs, CA","361075","82","DR","Demand Response","DO","28","59",,"4",,"63",,"1064019",,"842327",,"0",,"0",
"SunLine Transit Agency, dba: SunLine","Thousand Palms","CA","90079","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","41347","Indio--Palm Desert--Palm Springs, CA","361075","82","MB","Bus","DO","47","337",,"21",,"358",,"3423771",,"2905526",,"0",,"0",
"SunLine Transit Agency, dba: SunLine","Thousand Palms","CA","90079","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","41347","Indio--Palm Desert--Palm Springs, CA","361075","82","VP","Vanpool","PT","7","0",,"0",,"0",,"190868",,"190868",,"0",,"0",
"City of Terre Haute , dba: Terre Haute Transit Utility","Terre Haute","IN","50053","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","87139","Terre Haute, IN","79862","10","DR","Demand Response","DO","2","7",,"5",,"12",,"58482",,"52315",,"0",,"0",
"City of Terre Haute , dba: Terre Haute Transit Utility","Terre Haute","IN","50053","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","87139","Terre Haute, IN","79862","10","MB","Bus","DO","8","10",,"25",,"35",,"397474",,"391060",,"0",,"0",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","DR","Demand Response","DO","59","49",,"16",,"65",,"2577773",,"2281145",,"0",,"0",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","DR","Demand Response","PT","70","68",,"119",,"187",,"2620200",,"2286488",,"0",,"0",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","HR","Heavy Rail","DO","16","111",,"119",,"230",,"2307956",,"2302596",,"1141190",,"1138492",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","LR","Light Rail","DO","8","34",,"19",,"53",,"478421",,"476284",,"478421",,"476284",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","MB","Bus","DO","220","646",,"83",,"729",,"14336652",,"13181735",,"0",,"0",
"The Greater Cleveland Regional Transit Authority","Cleveland","OH","50015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","380","RB","Bus Rapid Transit","DO","7","62",,"8",,"70",,"418661",,"416508",,"0",,"0",
"Greater New Haven Transit District","Hamden","CT","10049","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","62407","New Haven, CT","561456","49","DR","Demand Response","DO","49","154",,"664",,"818",,"2099271",,"1753087",,"0",,"0",
"The Tri-State Transit Authority","Huntington","WV","30002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40753","Huntington, WV--KY--OH","200157","33","DR","Demand Response","DO","10","1",,"31",,"32",,"371128",,"321844",,"0",,"0",
"The Tri-State Transit Authority","Huntington","WV","30002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40753","Huntington, WV--KY--OH","200157","33","MB","Bus","DO","23","1",,"291",,"292",,"909373",,"882519",,"0",,"0",
"Toledo Area Regional Transit Authority","Toledo","OH","50022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","87868","Toledo, OH--MI","497952","130","DR","Demand Response","DO","40","18",,"158",,"176",,"1118309",,"963896",,"0",,"0",
"Toledo Area Regional Transit Authority","Toledo","OH","50022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","87868","Toledo, OH--MI","497952","130","MB","Bus","DO","43","8",,"198",,"206",,"2476324",,"2283160",,"0",,"0",
"Toledo Area Regional Transit Authority","Toledo","OH","50022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","87868","Toledo, OH--MI","497952","130","VP","Vanpool","PT","13","0",,"0",,"0",,"240783",,"240783",,"0",,"0",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2023","41914","Ithaca, NY","59102","48","DR","Demand Response","PT","18","2",,"0",,"2",,"398067",,"356885",,"0",,"0",
"Tompkins Consolidated Area Transit","Ithaca","NY","20145","Private-Non-Profit Corporation","Full Reporter","2023","41914","Ithaca, NY","59102","48","MB","Bus","DO","30","74",,"42",,"116",,"1286646",,"1151371","W","0",,"0",
"Topeka Metropolitan Transit Authority, dba: Topeka Metro","Topeka","KS","70014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","88084","Topeka, KS","148956","35","DR","Demand Response","DO","9","0",,"6",,"6",,"108390",,"104101",,"0",,"0",
"Topeka Metropolitan Transit Authority, dba: Topeka Metro","Topeka","KS","70014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","88084","Topeka, KS","148956","35","MB","Bus","DO","19","19",,"28",,"47",,"814780",,"796707",,"0",,"0",
"Topeka Metropolitan Transit Authority, dba: Topeka Metro","Topeka","KS","70014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","88084","Topeka, KS","148956","35","DR","Demand Response","PT","2","0",,"0",,"0",,"22271",,"20247",,"0",,"0",
"Trans-Bridge Lines, Inc.","Bethlehem","PA","20169","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","29","CB","Commuter Bus","DO","29","79",,"61",,"140",,"1567444",,"1540087",,"0",,"0",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","30628","Fort Collins, CO","326332","46","MB","Bus","DO","26","77",,"90",,"167",,"1133115",,"1019548",,"0",,"0",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","30628","Fort Collins, CO","326332","46","MB","Bus","PT","2","10",,"8",,"18",,"110117",,"98629",,"0",,"0",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","30628","Fort Collins, CO","326332","46","RB","Bus Rapid Transit","DO","6","32",,"35",,"67",,"167303",,"157204",,"0",,"0",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","30628","Fort Collins, CO","326332","46","DR","Demand Response","PT","2","7",,"5",,"12",,"23301",,"14745",,"0",,"0",
"Lexington Transit Authority, dba: Lextran","Lexington","KY","40017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","49582","Lexington-Fayette, KY","315631","103","DR","Demand Response","PT","37","4",,"19",,"23",,"1049672",,"903976",,"0",,"0",
"Lexington Transit Authority, dba: Lextran","Lexington","KY","40017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","49582","Lexington-Fayette, KY","315631","103","MB","Bus","DO","52","155",,"47",,"202",,"1952461",,"1868899",,"0",,"0",
"Lexington Transit Authority, dba: Lextran","Lexington","KY","40017","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","49582","Lexington-Fayette, KY","315631","103","VP","Vanpool","PT","14","0",,"0",,"0",,"193612",,"193612",,"0",,"0",
"Transit Authority of Northern Kentucky","Covington","KY","40019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","116","DR","Demand Response","DO","26","7",,"6",,"13",,"916958",,"472735",,"0",,"0",
"Transit Authority of Northern Kentucky","Covington","KY","40019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","116","MB","Bus","DO","90","103",,"57",,"160",,"3327877",,"2810479",,"0",,"0",
"Transit Authority of Omaha, dba: Metro","Omaha","NE","70002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65269","Omaha, NE--IA","819508","109","DR","Demand Response","DO","28","18",,"41",,"59",,"628085",,"563369",,"0",,"0",
"Transit Authority of Omaha, dba: Metro","Omaha","NE","70002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65269","Omaha, NE--IA","819508","109","MB","Bus","DO","81","551",,"1672",,"2223",,"3968167",,"3968167",,"0",,"0",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","DR","Demand Response","PT","77","12",,"45",,"57",,"2556655",,"2189158",,"0",,"0",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","MB","Bus","DO","159","1653",,"1618",,"3271",,"7667897",,"6520834",,"0",,"0",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","MB","Bus","PT","1","0",,"0",,"0",,"35695",,"22434",,"0",,"0",
"City of Santa Fe, dba: Santa Fe Trails","Santa Fe","NM","60077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79363","Santa Fe, NM","94241","29","DR","Demand Response","DO","11","1",,"5",,"6",,"217101",,"196016",,"0",,"0",
"City of Santa Fe, dba: Santa Fe Trails","Santa Fe","NM","60077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79363","Santa Fe, NM","94241","29","MB","Bus","DO","18","8",,"21",,"29",,"501505",,"472711",,"0",,"0",
"County of Rockland","New City","NY","20084","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","53","MB","Bus","PT","34","135",,"14",,"149",,"2279152",,"1921655",,"0",,"0",
